is_weekend,hour,ride_count
False,0,36618
False,1,17526
False,2,9728
False,3,6143
False,4,10987
False,5,37654
False,6,99666
False,7,222764
False,8,362765
False,9,226374
False,10,159852
False,11,179639
False,12,218544
False,13,230986
False,14,250295
False,15,332808
False,16,395834
False,17,519425
False,18,442661
False,19,328424
False,20,242039
False,21,190887
False,22,143218
False,23,91694
True,0,42890
True,1,28850
True,2,18660
True,3,9657
True,4,5303
True,5,7447
True,6,15946
True,7,29094
True,8,51373
True,9,82784
True,10,110979
True,11,127812
True,12,140254
True,13,142705
True,14,147937
True,15,154022
True,16,149388
True,17,140760
True,18,130204
True,19,108418
True,20,84056
True,21,68604
True,22,58800
True,23,45429
