source_month,raw_rows,cleaned_rows,removed_rows,station_pair_complete_rows,station_pair_complete_rate,duration_under_1_min_rows
202501,285731,285507,224,166883,0.584515,5899
202502,368813,368676,137,225004,0.610303,8892
202503,626757,626400,357,402493,0.642549,16006
202504,664199,663768,431,424420,0.639410,15977
202505,691727,691142,585,423374,0.612572,17443
202506,691620,690973,647,427612,0.618855,17237
202507,705343,704615,728,437236,0.620532,18295
202508,638988,638506,482,495314,0.775739,11621
202509,625035,624633,402,484712,0.775995,11577
202510,624869,624518,351,488349,0.781961,11363
202511,446294,446048,246,344789,0.772986,9009
202512,293271,293117,154,221241,0.754787,5987

