year,date,month,weekday,member_casual,rideable_type,ride_count,mean_duration_min,median_duration_min
2024,2024-01-01,1,1,casual,classic_bike,789,47.35447824250106,15.083333333333334
2024,2024-01-01,1,1,casual,electric_bike,901,15.064705882352941,9.783333333333333
2024,2024-01-01,1,1,member,classic_bike,1465,20.907531285551762,7.35
2024,2024-01-01,1,1,member,electric_bike,1726,11.978350714561607,7.966666666666667
2024,2024-01-02,1,2,casual,classic_bike,899,26.97814238042269,13.216666666666667
2024,2024-01-02,1,2,casual,electric_bike,1051,13.677925784966698,8.9
2024,2024-01-02,1,2,member,classic_bike,3003,11.150138750138751,7.8
2024,2024-01-02,1,2,member,electric_bike,2850,10.69974269005848,7.533333333333333
2024,2024-01-03,1,3,casual,classic_bike,1073,25.497965206585896,12.766666666666667
2024,2024-01-03,1,3,casual,electric_bike,1279,13.032942402918948,9.45
2024,2024-01-03,1,3,member,classic_bike,3602,14.438774754765872,8.066666666666666
2024,2024-01-03,1,3,member,electric_bike,3181,10.790506130147751,8.133333333333333
2024,2024-01-04,1,4,casual,classic_bike,864,20.31815200617284,11.058333333333334
2024,2024-01-04,1,4,casual,electric_bike,1195,12.17881450488145,9.066666666666666
2024,2024-01-04,1,4,member,classic_bike,3343,10.380950244291556,7.883333333333334
2024,2024-01-04,1,4,member,electric_bike,3068,10.868328987396783,8.066666666666666
2024,2024-01-05,1,5,casual,classic_bike,972,22.748834019204388,13.158333333333333
2024,2024-01-05,1,5,casual,electric_bike,1292,12.932727038183694,8.825
2024,2024-01-05,1,5,member,classic_bike,2954,11.169284585872264,7.983333333333333
2024,2024-01-05,1,5,member,electric_bike,3195,10.833437663015129,8.016666666666667
2024,2024-01-06,1,6,casual,classic_bike,302,31.933057395143486,10.733333333333334
2024,2024-01-06,1,6,casual,electric_bike,474,10.680731364275669,8.008333333333333
2024,2024-01-06,1,6,member,classic_bike,1023,10.314907135874877,7.016666666666667
2024,2024-01-06,1,6,member,electric_bike,1300,9.735269230769232,6.866666666666666
2024,2024-01-07,1,7,casual,classic_bike,1283,25.04993504806443,13.583333333333334
2024,2024-01-07,1,7,casual,electric_bike,1302,15.73685355862775,9.758333333333333
2024,2024-01-07,1,7,member,classic_bike,2933,12.374730082963975,8.066666666666666
2024,2024-01-07,1,7,member,electric_bike,2729,11.339880298033467,7.85
2024,2024-01-08,1,1,casual,classic_bike,1156,24.262846020761245,12.008333333333333
2024,2024-01-08,1,1,casual,electric_bike,1357,13.444829280275117,9.3
2024,2024-01-08,1,1,member,classic_bike,3818,13.267884581805482,8.35
2024,2024-01-08,1,1,member,electric_bike,3581,10.786544726798846,7.8
2024,2024-01-09,1,2,casual,classic_bike,218,14.886697247706422,8.15
2024,2024-01-09,1,2,casual,electric_bike,427,10.214910226385635,8.633333333333333
2024,2024-01-09,1,2,member,classic_bike,1254,12.48474215842637,8.1
2024,2024-01-09,1,2,member,electric_bike,1408,10.024124053030304,7.533333333333333
2024,2024-01-10,1,3,casual,classic_bike,1116,25.578569295101556,12.333333333333334
2024,2024-01-10,1,3,casual,electric_bike,1525,13.339726775956283,9.15
2024,2024-01-10,1,3,member,classic_bike,4110,12.477116788321167,8.9
2024,2024-01-10,1,3,member,electric_bike,3798,10.706599964893803,8.066666666666666
2024,2024-01-11,1,4,casual,classic_bike,1228,19.588422909880563,11.95
2024,2024-01-11,1,4,casual,electric_bike,1649,13.001930462906813,9.583333333333334
2024,2024-01-11,1,4,member,classic_bike,4158,12.787269520602853,8.65
2024,2024-01-11,1,4,member,electric_bike,4073,11.017763319420574,8.4
2024,2024-01-12,1,5,casual,classic_bike,1118,22.032498509242693,12.925
2024,2024-01-12,1,5,casual,electric_bike,1462,13.634849521203831,9.558333333333334
2024,2024-01-12,1,5,member,classic_bike,3413,12.264840316437153,8.366666666666667
2024,2024-01-12,1,5,member,electric_bike,3545,10.97841560883874,7.9
2024,2024-01-13,1,6,casual,classic_bike,1643,26.405203895313452,15.35
2024,2024-01-13,1,6,casual,electric_bike,1789,15.281367616918203,10.55
2024,2024-01-13,1,6,member,classic_bike,3012,12.08432381584772,8.441666666666666
2024,2024-01-13,1,6,member,electric_bike,3048,11.478094925634295,8.683333333333334
2024,2024-01-14,1,7,casual,classic_bike,920,25.727318840579713,13.266666666666667
2024,2024-01-14,1,7,casual,electric_bike,1205,13.128948824343015,9.283333333333333
2024,2024-01-14,1,7,member,classic_bike,2153,12.374578108066265,7.5
