station_key,station_name,lat,lng,departures,arrivals,total_usage
31623,Columbus Circle / Union Station,38.89696,-77.00493,57066,57382,114448
31229,New Hampshire Ave & T St NW,38.915544,-77.038252,51959,51998,103957
31201,15th & P St NW,38.90980062655191,-77.03442692756653,44439,44905,89344
31600,5th & K St NW,38.902734,-77.019181,43925,44411,88336
31699,Eastern Market Metro,38.884181,-76.995358,43511,43406,86917
31101,14th & V St NW,38.9177645,-77.032096,42058,41997,84055
31603,1st & M St NE,38.905697,-77.005483,38097,38259,76356
31202,14th & R St NW,38.913046,-77.032008,35644,35858,71502
31627,M St & Delaware Ave NE,38.905690963097,-77.00320065021515,35298,35747,71045
31124,14th & Irving St NW,38.928552,-77.032224,37164,33814,70978
31104,Adams Mill & Columbia Rd NW,38.9228491613136,-77.04252451658249,36003,34226,70229
31532,4th & Florida Ave NE,38.90731645057457,-77.00069814920425,33609,33573,67182
31125,15th & W St NW,38.9190185,-77.034449,30967,31269,62236
31214,17th & Corcoran St NW,38.9121,-77.0387,30941,31071,62012
31119,14th & Belmont St NW,38.921074,-77.031887,32025,29763,61788
31107,Lamont & Mt Pleasant NW,38.9319,-77.0388,32142,29036,61178
31203,14th St & Rhode Island Ave NW,38.9086,-77.0323,29984,30167,60151
31281,8th & O St NW,38.90864,-77.02277,29786,29940,59726
31236,37th & O St NW / Georgetown University,38.907837,-77.07166,28640,28913,57553
31266,11th & M St NW,38.9055785,-77.027313,28137,27724,55861
31324,18th & New Hampshire Ave NW,38.911268,-77.041829,28075,27776,55851
31615,6th & H St NE,38.899972,-76.998347,27418,27679,55097
31662,1st & K St NE,38.902386,-77.005649,27001,27206,54207
31330,17th & P St NW,38.909858,-77.038566,26875,27251,54126
31108,4th & M St SW,38.876941,-77.017807,26680,27178,53858
31234,20th & O St NW / Dupont South,38.908905,-77.04478,25833,26477,52310
31228,8th & H St NW,38.8997,-77.023086,25120,26899,52019
31102,11th & Kenyon St NW,38.929464,-77.027822,28519,22797,51316
31296,Columbia & Ontario Rd NW,38.924088,-77.040787,26588,24549,51137
31258,Lincoln Memorial,38.888255,-77.0494365,25296,25535,50831
31288,4th St & Madison Dr NW,38.8904955,-77.0172465,25244,25360,50604
31114,18th St & Wyoming Ave NW,38.918809,-77.041571,25842,23438,49280
31628,1st & I St SE,38.878854378063295,-77.00572729110718,24149,24506,48655
31213,17th & K St NW,38.90276,-77.03863,22733,23648,46381
31128,23rd & M St NW,38.905303,-77.050264,22317,23975,46292
31247,Jefferson Dr & 14th St SW,38.8885525,-77.032427,22544,23697,46241
31506,1st & Rhode Island Ave NW,38.915417,-77.012289,22522,23257,45779
31117,15th & Euclid St NW,38.92333,-77.0352,23567,21616,45183
31116,California St & Florida Ave NW,38.917761,-77.04062,23184,21968,45152
31212,New Hampshire Ave & Ward Pl NW,38.90571079190728,-77.0473176240921,22168,22881,45049
31257,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,22165,22545,44710
31295,Potomac & M St NW,38.905509,-77.065246,21338,22553,43891
31134,8th & V St NW,38.917716,-77.022684,21880,21899,43779
31327,14th & Q St NW,38.910674,-77.03188,21565,22034,43599
31237,25th St & Pennsylvania Ave NW,38.903827,-77.053485,21460,21994,43454
31278,18th & R St NW,38.912648,-77.041834,21365,21918,43283
31132,13th & U St NW,38.91693645323652,-77.0296311378479,21530,21679,43209
31311,13th & O St NW/ Logan Circle,38.908735,-77.029779,21472,21357,42829
31609,Maine Ave & 7th St SW,38.87869359939696,-77.02305436134338,20222,21731,41953
31982,20th & Q St NW,38.9110858,-77.0450612,20848,20913,41761
31265,5th St & Massachusetts Ave NW,38.90093,-77.018677,20714,21028,41742
31653,7th & K St NW,38.902674,-77.021392,20479,21229,41708
31126,11th & Girard St NW,38.925642,-77.027131,21749,19787,41536
31135,16th & Harvard St NW,38.926102,-77.03665,22159,19292,41451
31602,Park Rd & Holmead Pl NW,38.9308,-77.0315,23209,18174,41383
31312,Wisconsin Ave & O St NW,38.90849,-77.063586,19931,21167,41098
31245,7th & R St NW / Shaw Library,38.912719,-77.022155,20415,20140,40555
31505,Eckington Pl & Q St NE,38.91066,-77.004615,20337,19881,40218
31280,11th & S St NW,38.91360117514392,-77.02711522579193,20023,20000,40023
31113,Columbia Rd & Belmont St NW,38.920669,-77.04368,20282,19659,39941
31646,Maine Ave & 9th St SW,38.88044,-77.025236,19175,20634,39809
31205,21st & I St NW,38.90071062547463,-77.04644858837128,19687,19989,39676
31401,14th & Quincy St NW,38.938024,-77.032688,20447,18879,39326
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888774,-77.028694,19187,19812,38999
31619,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,19605,19108,38713
31285,22nd & P ST NW,38.909394,-77.048728,18811,19741,38552
31225,Wisconsin Ave & K St NW,38.902801,-77.062819,17256,21292,38548
31241,Thomas Circle,38.9059,-77.0325,19574,18968,38542
31611,13th & H St NE,38.90042673988099,-76.98825001716614,19066,19388,38454
31299,Connecticut Ave & R St NW,38.912644,-77.04564,18948,19373,38321
31655,New Jersey Ave & F St NW,38.897108,-77.011616,18452,19771,38223
31223,Convention Center / 7th & M St NW,38.905737,-77.02227,19393,18800,38193
31336,9th & N St NW ,38.906622,-77.023885,19028,19084,38112
31536,5th & Morse St NE,38.90728677325468,-76.99916660785675,19058,18994,38052
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135,18976,19048,38024
31531,MBT & Bryant St NE,38.92240364115446,-76.9960230588913,19030,18960,37990
31616,3rd & H St NE,38.900412,-77.001949,18766,18914,37680
31275,New Hampshire Ave & 24th St NW,38.901755,-77.051084,18516,18777,37293
31828,New Jersey Ave & H St SE,38.88076072595064,-77.00574070215225,18201,18985,37186
31533,Tanner Park,38.911213594521456,-77.0022565126419,18615,18273,36888
31131,14th & Otis Pl NW,38.934405,-77.032687,20482,16270,36752
31651,11th & Park Rd NW,38.93142879,-77.028289676,19057,17247,36304
31289,Henry Bacon Dr & Lincoln Memorial Circle NW,38.890539,-77.049383,17932,18277,36209
31233,17th & K St NW / Farragut Square,38.902061,-77.038322,17512,18182,35694
31286,11th & O St NW,38.90843146089006,-77.02708840370178,17877,17283,35160
31133,20th St & Columbia Rd NW,38.918103,-77.045469,18305,16792,35097
31120,10th St & Florida Ave NW,38.920392036,-77.025656819,17487,17532,35019
31325,Reservoir Rd & 38th St NW,38.91261359469192,-77.07432264076488,17207,17471,34678
31666,4th & G St SW,38.881116725009335,-77.01769933104515,17009,17536,34545
31419,Georgia Ave & Morton St NW,38.932059407,-77.023586392,17888,16644,34532
31610,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,17274,17251,34525
31122,16th & Irving St NW,38.928893,-77.03625,18341,16011,34352
31243,4th & C St SW,38.88637194054526,-77.01770067214966,16903,17442,34345
31282,16th & R St NW,38.912652,-77.036278,16993,17223,34216
31249,Jefferson Memorial,38.879819,-77.037413,16913,17054,33967
31230,Metro Center / 12th & G St NW,38.89832574246664,-77.02795878052711,16104,17856,33960
31232,7th & F St NW / National Portrait Gallery,38.897324,-77.022216,16221,17125,33346
30201,9th & G St NW,38.898097,-77.023924,16206,16941,33147
31400,Georgia & New Hampshire Ave NW,38.9366839345886,-77.02418088912964,17238,15348,32586
31503,Florida Ave & R St NW,38.9126,-77.0135,16058,16436,32494
31604,3rd & H St NW,38.899408,-77.015289,16092,16283,32375
31509,New Jersey Ave & R St NW,38.912659,-77.017669,16040,16232,32272
31215,Georgetown Harbor / 30th St NW,38.90226780126366,-77.05911666154861,14426,17504,31930
31639,2nd & G St NE,38.89967,-77.003666,15630,16006,31636
31612,D St & Maryland Ave NE,38.89484064247075,-76.99591577053069,16053,15507,31560
31277,17th & G St NW,38.898301,-77.039643,15376,15840,31216
31251,12th & L St NW,38.903819,-77.0284,15477,15337,30814
31271,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,15272,15465,30737
31130,7th & S St NW,38.914173639930105,-77.02159523963928,15266,14884,30150
31291,Vermont Ave & I St NW,38.901136451737045,-77.03445106744766,14872,15253,30125
31321,15th St & Constitution Ave NW,38.892244,-77.033234,14754,15092,29846
31221,18th & M St NW,38.90506687455313,-77.04177886247635,14517,15238,29755
31625,3rd & G St SE,38.881185,-77.001828,14761,14709,29470
31118,3rd & Elm St NW,38.917622,-77.01597,14554,14747,29301
31121,Calvert St & Woodley Pl NW,38.923583,-77.050046,15150,14131,29281
31210,17th St & Rhode Island Ave NW,38.906826496,-77.038751483,14568,14497,29065
31269,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,14496,14455,28951
31540,3rd & N St NE,38.907073,-77.002109,14415,14506,28921
31123,14th & Girard St NW,38.925284,-77.032375,15329,13592,28921
31267,17th St & Massachusetts Ave NW,38.908568,-77.038542,14729,14116,28845
31328,21st St & G st NW,38.89830173667249,-77.04691261053085,14297,14414,28711
31650,1st & M St SE,38.876893,-77.006072,13474,14961,28435
31115,Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315,15858,12542,28400
31323,Woodley Park Metro / Calvert St & Connecticut Ave NW,38.923389,-77.051833,15401,12964,28365
31631,8th & F St NE,38.897274,-76.994749,14159,14205,28364
31209,1st & N St SE,38.87502273556,-77.00575411319733,13685,14634,28319
31618,4th & East Capitol St NE,38.889955,-77.000349,14175,14137,28312
31263,10th & K St NW,38.9024,-77.02622,13959,14143,28102
31640,Maryland Ave & E St NE,38.8962260397813,-76.99278563261032,14175,13905,28080
31649,14th & Newton St NW,38.931991,-77.032956,14810,12726,27536
31298,15th & M St NW,38.905424,-77.034674,13949,13461,27410
31332,11th & V St NW,38.918199,-77.027171,13677,13636,27313
31109,7th St & Florida Ave NW,38.91613684808331,-77.02200293540955,13449,13559,27008
31290,17th St & Independence Ave SW,38.888097,-77.038325,13559,13419,26978
31517,Union Market,38.907908,-76.99707,13469,13501,26970
31515,Fort Totten Metro,38.952369,-77.002721,13743,13151,26894
31264,6th St & Indiana Ave NW,38.894573,-77.01994,13032,13562,26594
31624,North Capitol St & F St NW,38.897446,-77.009888,12859,13683,26542
31643,1st & D St SE,38.884916,-77.005965,13189,13222,26411
31224,18th & L St NW,38.90374145091938,-77.04245209693909,12855,13337,26192
31226,34th St & Wisconsin Ave NW,38.916442,-77.0682,13038,13142,26180
31110,20th St & Florida Ave NW,38.9154,-77.0446,13370,12758,26128
31947,Rosslyn Metro / Wilson Blvd & N Moore St,38.896086906318665,-77.07145214080809,12694,13303,25997
32301,20th & N St NW ,38.907045,-77.044975,12717,13094,25811
30200,9th St & Pennsylvania Ave NW,38.89428,-77.023979,11785,13942,25727
31283,14th & L St NW,38.903658,-77.031737,12775,12794,25569
31272,Washington & Independence Ave SW/HHS,38.886978,-77.013769,12388,12923,25311
31622,13th & D St NE,38.894832,-76.987633,12647,12564,25211
31222,15th St & New York Ave NW,38.89903234416315,-77.03335404396057,11840,13080,24920
31276,15th & L St NW,38.903967,-77.034602,12173,12700,24873
31519,1st & O St NW,38.908643,-77.012365,12311,12536,24847
31129,15th St & Pennsylvania Ave NW,38.89646474748647,-77.0333808660507,11960,12802,24762
31219,10th St & Constitution Ave NW,38.893028,-77.026013,12169,12489,24658
31239,Rhode Island & Connecticut Ave NW,38.905995699991145,-77.03980207443237,12134,12471,24605
31136,11th & Clifton St NW,38.920981,-77.027118,13212,11348,24560
31661,8th & H St NE,38.899941626884754,-76.99489653110504,12093,12417,24510
31244,4th & E St SW,38.88412,-77.017445,12040,12380,24420
31238,14th & G St NW,38.89816396413188,-77.03189760446548,11708,12633,24341
31670,12th St & New York Ave NW,38.901104,-77.028061,11941,12311,24252
31652,4th & M St SE,38.876751,-77.000736,11346,12617,23963
31297,Virginia Ave & 25th St NW,38.89846038350939,-77.05305218696594,11663,12186,23849
31404,9th & Upshur St NW,38.9418,-77.0251,12096,11727,23823
31111,10th & U St NW,38.9172,-77.0259,11900,11777,23677
31231,14th & D St NW / John A Wilson Building,38.894514,-77.031617,11393,12071,23464
31634,3rd & Tingey St SE,38.87501,-77.0024,11246,12079,23325
31293,Thomas Jefferson St NW & Water/K St NW,38.902826,-77.060173,10383,12934,23317
31218,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241,11483,11618,23101
31227,13th St & New York Ave NW,38.900283,-77.029822,10595,12125,22720
31636,New Jersey Ave & N St NW/Dunbar HS,38.90733256111448,-77.01536044478416,11335,11264,22599
31268,12th & U St NW,38.916787,-77.028139,11612,10917,22529
31527,North Capitol & R St NE,38.91256,-77.008775,11363,10886,22249
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683,11136,11059,22195
31306,39th & Calvert St NW / Stoddert,38.922649,-77.077271,11146,10602,21748
31064,Gravelly Point,38.865029,-77.039511,10677,10581,21258
31208,M St & New Jersey Ave SE,38.8762192324865,-77.00416892766953,10063,11176,21239
31605,3rd & D St SE,38.8851,-77.0023,10608,10606,21214
31270,8th & D St NW,38.894851,-77.02324,10058,11114,21172
31242,18th St & Pennsylvania Ave NW,38.89968,-77.041539,10428,10513,20941
31302,Wisconsin Ave & Newark St NW,38.934881,-77.072755,10882,9922,20804
31663,14th & D St SE,38.8840581,-76.9863852,10343,10207,20550
31680,Half & I St SW ,38.879262,-77.011016,10066,10408,20474
31657,Massachusetts Ave & 6th St NE,38.892875,-76.998413,10310,10150,20460
31022,Clarendon Metro / Wilson Blvd & N Highland St,38.88701007722296,-77.09525674581528,11130,9297,20427
