weekday,weekday_name_cn,hour,ride_count
1,周一,0,7305
1,周一,1,3413
1,周一,2,2005
1,周一,3,1421
1,周一,4,2105
1,周一,5,6998
1,周一,6,18438
1,周一,7,40334
1,周一,8,64369
1,周一,9,40167
1,周一,10,29525
1,周一,11,33940
1,周一,12,42546
1,周一,13,44786
1,周一,14,47193
1,周一,15,62513
1,周一,16,74902
1,周一,17,99440
1,周一,18,83815
1,周一,19,61720
1,周一,20,44454
1,周一,21,33127
1,周一,22,22191
1,周一,23,12318
2,周二,0,5674
2,周二,1,2573
2,周二,2,1429
2,周二,3,1006
2,周二,4,2215
2,周二,5,7691
2,周二,6,21279
2,周二,7,49137
2,周二,8,80826
2,周二,9,46443
2,周二,10,29959
2,周二,11,33222
2,周二,12,40723
2,周二,13,41785
2,周二,14,45629
2,周二,15,62541
2,周二,16,77547
2,周二,17,107115
2,周二,18,90139
2,周二,19,63819
2,周二,20,47134
2,周二,21,37629
2,周二,22,25974
2,周二,23,13445
3,周三,0,6428
3,周三,1,3214
3,周三,2,1841
3,周三,3,1124
3,周三,4,2203
3,周三,5,7834
3,周三,6,21205
3,周三,7,48198
3,周三,8,79147
3,周三,9,46165
3,周三,10,31116
3,周三,11,34849
3,周三,12,41643
3,周三,13,44516
3,周三,14,47607
3,周三,15,63719
3,周三,16,78701
3,周三,17,108590
3,周三,18,91438
3,周三,19,67636
3,周三,20,49215
3,周三,21,38771
3,周三,22,28234
3,周三,23,15716
4,周四,0,7269
4,周四,1,3247
4,周四,2,1764
4,周四,3,1183
4,周四,4,2078
4,周四,5,7716
4,周四,6,20542
4,周四,7,46379
4,周四,8,76592
4,周四,9,48652
4,周四,10,32562
4,周四,11,35795
4,周四,12,43735
4,周四,13,45696
4,周四,14,49648
4,周四,15,67050
4,周四,16,80190
4,周四,17,108395
4,周四,18,93681
4,周四,19,69557
4,周四,20,52349
4,周四,21,41149
4,周四,22,31283
4,周四,23,19716
5,周五,0,9942
5,周五,1,5079
5,周五,2,2689
5,周五,3,1409
5,周五,4,2386
5,周五,5,7415
5,周五,6,18202
5,周五,7,38716
5,周五,8,61831
5,周五,9,44947
5,周五,10,36690
5,周五,11,41833
5,周五,12,49897
5,周五,13,54203
5,周五,14,60218
5,周五,15,76985
5,周五,16,84494
5,周五,17,95885
5,周五,18,83588
5,周五,19,65692
5,周五,20,48887
5,周五,21,40211
5,周五,22,35536
5,周五,23,30499
6,周六,0,20989
6,周六,1,13919
6,周六,2,9023
6,周六,3,4523
6,周六,4,2502
6,周六,5,3872
6,周六,6,8370
6,周六,7,16479
6,周六,8,28415
6,周六,9,45095
6,周六,10,57972
6,周六,11,67484
6,周六,12,73313
6,周六,13,75946
6,周六,14,78884
6,周六,15,81012
6,周六,16,77099
6,周六,17,73027
6,周六,18,68403
6,周六,19,59627
6,周六,20,47564
6,周六,21,39937
6,周六,22,35951
6,周六,23,31196
7,周日,0,21901
7,周日,1,14931
7,周日,2,9637
7,周日,3,5134
7,周日,4,2801
7,周日,5,3575
7,周日,6,7576
7,周日,7,12615
7,周日,8,22958
7,周日,9,37689
7,周日,10,53007
7,周日,11,60328
7,周日,12,66941
7,周日,13,66759
7,周日,14,69053
7,周日,15,73010
7,周日,16,72289
7,周日,17,67733
7,周日,18,61801
7,周日,19,48791
7,周日,20,36492
7,周日,21,28667
7,周日,22,22849
7,周日,23,14233
